Core ,East ,West ,woodland Caribbean,FIA Code,PLANTS Code,Common name,Genus ,Species 
,E ,W ,,10,ABIES ,Fir spp. ,Abies ,sp
X ,,W ,,11,ABAM ,Pacific silver fir ,Abies ,amabilis 
X ,E ,W ,,12,ABBA ,balsam fir ,Abies ,balsamea 
X ,,W ,,14,ABBR ,"Santa Lucia fir,",Abies ,bracteata 
X ,,W ,,15,ABCO ,white fir ,Abies ,concolor 
X ,E ,,,16,ABFR ,Fraser fir ,Abies ,fraseri 
X ,,W ,,17,ABGR ,grand fir ,Abies ,grandis 
X ,,W ,,19,ABLA ,subalpine fir ,Abies ,lasiocarpa 
X ,,W ,,18,ABLAA ,corkbark fir ,Abies ,lasiocarpa var. arizonica
X ,,W ,,20,ABMA ,California red fir ,Abies ,magnifica 
X ,,W ,,22,ABPR ,noble fir ,Abies ,procera 
X ,,W ,,21,ABSH ,Shasta red fir ,Abies ,shastensis 
,,,C ,6036,AGAU4 ,kauri ,Agathis ,australis 
,,,C ,6037,AGRO6 ,Queensland kauri,Agathis ,robusta 
,,,C ,6154,ARAN15 ,parana pine ,Araucaria ,angustifolia 
,,,C ,6157,ARHE12 ,Norfolk Island pine,Araucaria ,heterophylla 
,,,C ,6331,CACO2 ,Callitris,Callitris ,columellaris 
X ,,W ,,81,CADE27 ,incense-cedar ,Calocedrus ,decurrens 
,E ,W ,,40,CHAMA4 ,cedar spp. ,Chamaecyparis ,sp
X ,,W ,,41,CHLA ,Port-Orford-cedar,Chamaecyparis ,lawsoniana 
X ,,W ,,42,CHNO ,Alaska yellow-cedar,Chamaecyparis ,nootkatensis 
X ,E ,,,43,CHTH2 ,Atlantic white-cedar,Chamaecyparis ,thyoides 
,,,C ,6786,CRJA3 ,Japanese cedar ,Cryptomeria ,japonica 
,,,C ,6788,CULA ,Chinese fir ,Cunninghamia ,lanceolata 
,,W ,C ,50,CUPRE ,cypress ,Cupressus ,sp
X ,,W ,,51,CUAR ,Arizona cypress ,Cupressus ,arizonica 
X ,,W ,,52,CUBA ,"Baker cypress,",Cupressus ,bakeri 
X ,,W ,,53,CUFO2 ,tecate cypress ,Cupressus ,forbesii 
,,,C ,6795,CULU2 ,cedar-of-Goa ,Cupressus ,lusitanica 
X ,,W ,,56,CUMA ,MacNab's cypress,Cupressus ,macnabiana 
X ,,W ,,54,CUMA2 ,Monterey cypress,Cupressus ,macrocarpa 
,,W ,,55,CUSA3 ,Sargentâ€™s cypress ,Cupressus ,sargentii 
,,,C ,6796,CUSE2 ,Italian cypress ,Cupressus ,sempervirens 
,,,C ,6852,CYCI3 ,queen sago ,Cycas ,circinalis 
,E ,W ,,57,JUNIP ,"redcedar, juniper spp.",Juniperus ,sp
X ,E ,,w ,61,JUAS ,Ashe juniper ,Juniperus ,ashei 
X ,,W ,w ,62,JUCA7 ,California juniper ,Juniperus ,californica 
X ,,W ,w ,59,JUCO11 ,redberry juniper ,Juniperus ,coahuilensis 
X ,,W ,w ,63,JUDE2 ,alligator juniper ,Juniperus ,deppeana 
,E ,,w ,60,JUFL ,drooping juniper ,Juniperus ,flaccida 
X ,,W ,w ,69,JUMO ,oneseed juniper ,Juniperus ,monosperma 
X ,,W ,,64,JUOC ,western juniper ,Juniperus ,occidentalis 
X ,,W ,w ,65,JUOS ,Utah juniper ,Juniperus ,osteosperma 
X ,,W ,w ,58,JUPI ,Pinchot juniper ,Juniperus ,pinchotii 
X ,E ,W ,w ,66,JUSC2 ,Rocky Mountain juniper,Juniperus ,scopulorum 
X ,E ,,,68,JUVI ,eastern redcedar ,Juniperus ,virginiana 
,E ,,,67,JUVIS ,southern redcedar,Juniperus ,virginiana var. silicicola
,E ,W ,,70,LARIX ,larch spp. ,Larix ,sp
X ,E ,W ,,71,LALA ,tamarack (native),Larix ,laricina 
X ,,W ,,72,LALY ,subalpine larch ,Larix ,lyallii 
X ,,W ,,73,LAOC ,western larch ,Larix ,occidentalis 
,E ,W ,,90,PICEA ,spruce spp. ,Picea ,sp
X ,E ,,,91,PIAB ,Norway spruce ,Picea ,abies 
X ,,W ,,92,PIBR ,Brewer spruce ,Picea ,breweriana 
X ,,W ,,93,PIEN ,Engelmann spruce,Picea ,engelmannii 
X ,E ,W ,,94,PIGL ,white spruce ,Picea ,glauca 
X ,E ,W ,,95,PIMA ,black spruce ,Picea ,mariana 
X ,E ,W ,,96,PIPU ,blue spruce ,Picea ,pungens 
X ,E ,,,97,PIRU ,red spruce ,Picea ,rubens 
X ,,W ,,98,PISI ,Sitka spruce ,Picea ,sitchensis 
,E ,W ,C ,100,PINUS ,pine spp. ,Pinus ,sp
X ,,W ,,101,PIAL ,whitebark pine ,Pinus ,albicaulis 
X ,,W ,,102,PIAR ,Rocky Mountain bristlecone pine,Pinus ,aristata 
X ,,W ,,135,PIAR5 ,Arizona pine ,Pinus ,arizonica 
X ,,W ,,103,PIAT ,knobcone pine ,Pinus ,attenuata 
X ,,W ,,104,PIBA ,foxtail pine ,Pinus ,balfouriana 
X ,E ,,,105,PIBA2 ,jack pine ,Pinus ,banksiana 
,,,C ,8183,PICA18 ,Caribbean pine ,Pinus ,caribaea 
X ,,W ,w ,140,PICE ,Mexican pinyon pine,Pinus ,cembroides 
X ,E ,,,107,PICL ,sand pine ,Pinus ,clausa 
X ,,W ,,108,PICO ,lodgepole pine ,Pinus ,contorta 
X ,,W ,,109,PICO3 ,Coulter pine ,Pinus ,coulteri 
X ,,W ,w ,134,PIDI3 ,border pinyon ,Pinus ,discolor 
X ,E ,,,110,PIEC2 ,shortleaf pine ,Pinus ,echinata 
X ,,W ,w ,106,PIED ,"Common pinyon,",Pinus ,edulis 
X ,E ,,,111,PIEL ,slash pine ,Pinus ,elliottii 
X ,E ,,,144,PIELE2 ,Caribbean pine ,Pinus ,elliottii var. elliottii 
X ,,W ,,112,PIEN2 ,Apache pine ,Pinus ,engelmannii 
X ,,W ,,113,PIFL2 ,limber pine ,Pinus ,flexilis 
X ,E ,,,115,PIGL2 ,spruce pine ,Pinus ,glabra 
X ,,W ,,116,PIJE ,Jeffrey pine ,Pinus ,jeffreyi 
X ,,W ,,117,PILA ,sugar pine ,Pinus ,lambertiana 
X ,,W ,,118,PILE ,Chihuahuan pine ,Pinus ,leiophylla 
X ,,W ,,142,PILO ,Great Basin bristlecone pine,Pinus ,longaeva 
,,,C ,8184,PIMA11 ,Chinese red pine ,Pinus ,massoniana 
,,,C ,8185,PIME2 ,Merkus pine ,Pinus ,merkusii 
X ,,W ,w ,133,PIMO ,singleleaf pinyon ,Pinus ,monophylla 
X ,,W ,w ,143,PIMOF ,Arizona pinyon pine,Pinus ,monophylla var. fallax
X ,,W ,,119,PIMO3 ,western white pine,Pinus ,monticola 
X ,,W ,,120,PIMU ,bishop pine ,Pinus ,muricata 
X ,E ,,,136,PINI ,Austrian pine ,Pinus ,nigra 
,,,C ,8186,PIOO2 ,ocote chino ,Pinus ,oocarpa 
X ,E ,,,121,PIPA2 ,longleaf pine ,Pinus ,palustris 
,,,C ,8187,PIPA13 ,Mexican weeping pine,Pinus ,patula 
X ,E ,W ,,122,PIPO ,ponderosa pine ,Pinus ,ponderosa 
X ,E ,,,123,PIPU5 ,Table Mountain pine,Pinus ,pungens 
X ,,W ,w ,138,PIQU ,"four-leaf pine,",Pinus ,quadrifolia 
X ,,W ,,124,PIRA2 ,Monterey pine ,Pinus ,radiata 
,E ,,w ,141,PIRE5 ,papershell pinyon pine,Pinus ,remota 
X ,E ,,,125,PIRE ,red pine ,Pinus ,resinosa 
X ,E ,,,126,PIRI ,pitch pine ,Pinus ,rigida 
X ,,W ,,127,PISA2 ,"gray pine,",Pinus ,sabiniana 
X ,E ,,,128,PISE ,pond pine ,Pinus ,serotina 
X ,,W ,,114,PIST3 ,southwestern white pine,Pinus ,strobiformis 
X ,E ,,,129,PIST ,eastern white pine,Pinus ,strobus 
X ,E ,W ,,130,PISY ,Scotch pine ,Pinus ,sylvestris 
X ,E ,,,131,PITA ,loblolly pine ,Pinus ,taeda 
X ,,W ,,139,PITO ,Torrey pine ,Pinus ,torreyana 
X ,E ,,,132,PIVI2 ,Virginia pine ,Pinus ,virginiana 
X ,,W ,,137,PIWA ,Washoe pine ,Pinus ,washoensis 
,,,C ,8249,PLOR80 ,Oriental arborvitae,Platycladus ,orientalis 
,,,C ,8273,POCO3 ,yucca plum pine ,Podocarpus ,coriaceus 
,,W ,,200,PSEUD7 ,Douglas-fir spp. ,Pseudotsuga ,sp
X ,,W ,,201,PSMA ,bigcone Douglas-fir,Pseudotsuga ,macrocarpa 
X ,,W ,,202,PSME ,Douglas-fir ,Pseudotsuga ,menziesii 
X ,,W ,,211,SESE3 ,redwood ,Sequoia ,sempervirens 
X ,,W ,,212,SEGI2 ,giant sequoia ,Sequoiadendron ,giganteum 
,E ,,,220,TAXOD ,cypress spp. ,Taxodium ,sp
X ,E ,,,222,TAAS ,pondcypress ,Taxodium ,ascendens 
X ,E ,,,221,TADI2 ,baldcypress ,Taxodium ,distichum 
,E ,,,223,TAMU ,Montezuma baldcypress,Taxodium ,mucronatum 
,E ,W ,,230,TAXUS ,yew spp. ,Taxus ,sp
,,W ,,231,TABR2 ,Pacific yew ,Taxus ,brevifolia 
X ,E ,,,232,TAFL ,Florida yew ,Taxus ,floridana 
,E ,W ,C ,240,THUJA ,Thuja spp. ,Thuja ,sp
X ,E ,,,241,THOC2 ,northern white-cedar,Thuja ,occidentalis 
X ,,W ,,242,THPL ,western redcedar,Thuja ,plicata 
,E ,W ,,250,TORRE ,torreya (nutmeg) spp.,Torreya ,sp
X ,,W ,,251,TOCA ,California torreya (nutmeg),Torreya ,californica 
X ,E ,,,252,TOTA ,Florida torreya (nutmeg),Torreya ,taxifolia 
,E ,W ,,260,TSUGA ,hemlock spp. ,Tsuga ,sp
X ,E ,,,261,TSCA ,eastern hemlock ,Tsuga ,canadensis 
X ,E ,,,262,TSCA2 ,Carolina hemlock ,Tsuga ,caroliniana 
X ,,W ,,263,TSHE ,western hemlock ,Tsuga ,heterophylla 
X ,,W ,,264,TSME ,mountain hemlock,Tsuga ,mertensiana 
X ,E ,W ,C ,299,2TE ,unknown dead conifer,Tree ,evergreen 
,E ,W ,w/C ,300,ACACI ,acacia spp. ,Acacia ,sp
,,,C ,6001,ACAN4 ,blackbrush wattle,Acacia ,anegadensis 
,E ,W ,w/C ,303,ACFA ,sweet acacia ,Acacia ,farnesiana 
,E ,W ,w ,304,ACGR ,catclaw acacia ,Acacia ,greggii 
,,,C ,6008,ACMA ,porknut ,Acacia ,macracantha 
,,,C ,6009,ACMA12 ,Acacia mangium ,Acacia ,mangium 
,,,C ,6012,ACMU ,spineless wattle ,Acacia ,muricata 
,,,C ,6013,ACNI2 ,gum arabic tree ,Acacia ,nilotica 
,,,C ,6015,ACPO3 ,Acacia,Acacia ,polyacantha 
,,,C ,6018,ACTO ,poponax ,Acacia ,tortuosa 
,E ,W ,,310,ACER ,maple spp. ,Acer ,sp
X ,E ,,,311,ACBA3 ,Florida maple ,Acer ,barbatum 
,,W ,w ,321,ACGL ,Rocky Mountain maple,Acer ,glabrum 
,,W ,w ,322,ACGR3 ,bigtooth maple ,Acer ,grandidentatum 
X ,E ,,,323,ACLE ,chalk maple ,Acer ,leucoderme 
X ,,W ,,312,ACMA3 ,bigleaf maple ,Acer ,macrophyllum 
X ,E ,W ,,313,ACNE2 ,boxelder ,Acer ,negundo 
X ,E ,,,314,ACNI5 ,black maple ,Acer ,nigrum 
X ,E ,,,315,ACPE ,striped maple ,Acer ,pensylvanicum 
,E ,,,320,ACPL ,Norway maple ,Acer ,platanoides 
X ,E ,,,316,ACRU ,red maple ,Acer ,rubrum 
X ,E ,,,317,ACSA2 ,silver maple ,Acer ,saccharinum 
X ,E ,,,318,ACSA3 ,sugar maple ,Acer ,saccharum 
,E ,,,319,ACSP2 ,mountain maple ,Acer ,spicatum 
,,,C ,6021,ACAR ,hollowheart ,Acnistus ,arborescens 
,E ,,,906,ACWR4 ,paurotis palm ,Acoelorraphe ,wrightii 
,,,C ,6023,ACME2 ,grugru palm ,Acrocomia ,media 
,,,C ,6025,ADDI3 ,baobab ,Adansonia ,digitata 
,,,C ,6026,ADRI ,wild lime ,Adelia ,ricinella 
,,,C ,6028,ADPA ,red beadtree ,Adenanthera ,pavonina 
,,,C ,6032,AEMA ,Caribbean spiritweed,Aegiphila ,martinicensis 
,E ,W ,,330,AESCU ,"buckeye, horsechestnut spp.",Aesculus ,sp
,,W ,,333,AECA ,California buckeye,Aesculus ,californica 
X ,E ,,,332,AEFL ,yellow buckeye ,Aesculus ,flava 
X ,E ,,,331,AEGL ,Ohio buckeye ,Aesculus ,glabra 
,E ,,,334,AEGLA ,Texas buckeye ,Aesculus ,glabra var. arguta 
,E ,,,336,AEPA ,red buckeye ,Aesculus ,pavia 
X ,E ,,,337,AESY ,painted buckeye ,Aesculus ,sylvatica 
X ,E ,W ,,341,AIAL ,ailanthus ,Ailanthus ,altissima 
,,,C ,6053,AIMI ,Aiphanes minima ,Aiphanes ,minima 
,,,C ,6055,ALAD ,cream albizia ,Albizia ,adinocephala 
,,,C ,6056,ALCA8 ,naked albizia ,Albizia ,carbonaria 
X ,E ,W ,,345,ALJU ,mimosa/silktree ,Albizia ,julibrissin 
,,,C ,6059,ALLE ,woman's tongue ,Albizia ,lebbeck 
,,,C ,6060,ALPR ,tall albizia ,Albizia ,procera 
,,,C ,6064,ALLA ,achiotillo ,Alchornea ,latifolia 
,,,C ,6066,ALFL3 ,palo de gallina ,Alchorneopsis ,floribunda 
,,,C ,6075,ALMO2 ,Indian walnut ,Aleurites ,moluccana 
,,,C ,6080,ALCR9 ,palo blanco ,Allophylus ,crassinervis 
,,,C ,6082,ALRA ,palo de caja ,Allophylus ,racemosus 
,,W ,,350,ALNUS ,alder spp. ,Alnus ,sp
X ,E ,,,355,ALGL2 ,European alder ,Alnus ,glutinosa 
X ,,W ,,353,ALOB2 ,Arizona alder ,Alnus ,oblongifolia 
X ,,W ,,352,ALRH2 ,white alder ,Alnus ,rhombifolia 
X ,,W ,,351,ALRU2 ,red alder ,Alnus ,rubra 
,,,C ,6092,ALBR4 ,helecho gigante de la sierra,Alsophila ,bryophila 
,,,C ,6093,ALPO7 ,Alsophila,Alsophila ,portoricensis 
,E ,W ,,356,AMELA ,serviceberry spp. ,Amelanchier ,sp
,E ,W ,,357,AMAR3 ,common serviceberry,Amelanchier ,arborea 
,E ,W ,,358,AMSA ,roundleaf serviceberry,Amelanchier ,sanguinea 
,,,C ,6101,AMLA4 ,black calabash ,Amphitecna ,latifolia 
,,,C ,6103,AMBA2 ,balsam torchwood,Amyris ,balsamifera 
,E ,,C ,852,AMEL ,torchwood ,Amyris ,elemifera 
,,,C ,6106,ANACA ,anacardium ,Anacardium ,sp
,,,C ,6107,ANOC ,cashew ,Anacardium ,occidentale 
,,,C ,6111,ANPE13 ,Anadenanthera,Anadenanthera ,peregrina 
,,,C ,6114,ANIN ,cabbagebark tree ,Andira ,inermis 
,,,C ,6120,ANBR7 ,canelillo ,Aniba ,bracteata 
,,,C ,6124,ANCH9 ,Annona,Annona ,cherimola 
,,,C ,6125,ANDI11 ,ilama ,Annona ,diversifolia 
,E ,,C ,853,ANGL4 ,pond apple ,Annona ,glabra 
,,,C ,6127,ANMO ,mountain soursop,Annona ,montana 
,,,C ,6128,ANMU2 ,soursop ,Annona ,muricata 
,,,C ,6129,ANRE ,custard apple ,Annona ,reticulata 
,,,C ,6131,ANSQ ,sugar apple ,Annona ,squamosa 
,,,C ,6137,ANBU3 ,Antidesma,Antidesma ,bunius 
,,,C ,6146,ANAC4 ,placa chiquitu ,Antirhea ,acutata 
,,,C ,6147,ANCO3 ,pegwood ,Antirhea ,coriacea 
,,,C ,6149,ANLU3 ,palo iloron ,Antirhea ,lucida 
,,,C ,6150,ANOB2 ,quina roja ,Antirhea ,obtusifolia 
,,,C ,6151,ANPO3 ,Puerto Rico quina,Antirhea ,portoricensis 
,,,C ,6152,ANSI ,Sintenis' quina ,Antirhea ,sintenisii 
,,W ,,360,ARBUT ,Madrone spp. ,Arbutus ,sp
X ,,W ,,362,ARAR2 ,Arizona madrone ,Arbutus ,arizonica 
X ,,W ,,361,ARME ,Pacific madrone ,Arbutus ,menziesii 
,E ,W ,w ,363,ARXA80 ,Texas madrone ,Arbutus ,xalapensis 
,,,C ,6162,ARGL11 ,ausubon ,Ardisia ,glauciflora 
,,,C ,6163,ARLU3 ,mountain marlberry,Ardisia ,luquillensis 
,,,C ,6164,AROB2 ,Guadeloupe marlberry,Ardisia ,obovata 
,,,C ,6165,ARSO ,China-shrub ,Ardisia ,solanacea 
,,,C ,6171,ARAL7 ,breadfruit ,Artocarpus ,altilis 
,,,C ,6173,ARHE2 ,Artocarpus,Artocarpus ,heterophyllus 
X ,E ,,,367,ASTR ,Pawpaw ,Asimina ,triloba 
,,,C ,6198,AVCA ,carambola ,Averrhoa ,carambola 
,E ,,C ,986,AVGE ,black mangrove ,Avicennia ,germinans 
,,,C ,6206,AZIN2 ,neem ,Azadirachta ,indica 
,,,C ,6216,BAVU2 ,common bamboo,Bambusa ,vulgaris 
,,,C ,6217,BAPO ,Puerto Rico palo de ramon,Banara ,portoricensis 
,,,C ,6219,BAVA2 ,Vanderbilt's palo de ramon,Banara ,vanderbiltii 
,,,C ,6220,BAAS3 ,sea putat ,Barringtonia ,asiatica 
,,,C ,6224,BAEG6 ,Bastardiopsis,Bastardiopsis ,eggersii 
,,,C ,6226,BAMO2 ,Napoleon's plume,Bauhinia ,monandra 
,,,C ,6227,BAMU3 ,petite flamboyant bauhinia,Bauhinia ,multinervia 
,,,C ,6228,BAPA3 ,railroadfence ,Bauhinia ,pauletia 
,,,C ,6229,BAPU ,butterfly tree ,Bauhinia ,purpurea 
,,,C ,6231,BATO ,St. Thomas tree ,Bauhinia ,tomentosa 
,,,C ,6232,BAVA ,mountain ebony ,Bauhinia ,variegata 
,,,C ,6233,BEPE ,slugwood ,Beilschmiedia ,pendula 
,,,C ,6235,BEDI2 ,Caribbean myrtlecroton,Bernardia ,dichotoma 
,E ,W ,,370,BETUL ,birch spp. ,Betula ,sp
X ,E ,,,371,BEAL2 ,yellow birch ,Betula ,alleghaniensis 
X ,E ,,,372,BELE ,sweet birch ,Betula ,lenta 
X ,E ,,,373,BENI ,river birch ,Betula ,nigra 
X ,E ,W ,,374,BEOC2 ,water birch ,Betula ,occidentalis 
X ,E ,W ,,375,BEPA ,paper birch ,Betula ,papyrifera 
X ,E ,,,379,BEPO ,gray birch ,Betula ,populifolia 
X ,E ,,,377,BEUB ,Virginia roundleaf birch,Betula ,uber 
X ,,W ,,378,BEUT ,northwestern paper birch,Betula ,Xutahensis 
,,,C ,6238,BIOR ,lipsticktree ,Bixa ,orellana 
,,,C ,6240,BLSA2 ,akee ,Blighia ,sapida 
,,,C ,6247,BOFR2 ,parrotweed ,Bocconia ,frutescens 
,,,C ,6251,BODA ,white alling ,Bontia ,daphnoides 
,,,C ,6253,BORA2 ,Bourreria radula ,Bourreria ,radula 
,,,C ,6255,BOSU2 ,bodywood ,Bourreria ,succulenta 
,,,C ,6257,BOVI2 ,roble de guayo ,Bourreria ,virgata 
,,,C ,6270,BRCO6 ,West Indian sumac,Brunellia ,comocladiifolia 
,,,C ,6272,BRAM4 ,American brunfelsia,Brunfelsia ,americana 
,,,C ,6273,BRDE4 ,Serpentine Hill raintree,Brunfelsia ,densifolia 
,,,C ,6274,BRLA5 ,vega blanca ,Brunfelsia ,lactea 
,,,C ,6275,BRPO3 ,Puerto Rico raintree,Brunfelsia ,portoricensis 
,,,C ,6283,BUTE4 ,fourleaf buchenavia,Buchenavia ,tetraphylla 
,,,C ,6284,BUBU ,gregorywood ,Bucida ,buceras 
,,,C ,6294,BUGL2 ,cafe falso ,Bunchosia ,glandulifera 
,,,C ,6295,BUGL ,cafe forastero ,Bunchosia ,glandulosa 
,,,C ,6297,BUPO5 ,Bunchosia polystachia,Bunchosia ,polystachia 
,E ,,C ,854,BUSI ,gumbo limbo ,Bursera ,simaruba 
,,,C ,6303,BULA10 ,Buxus laevigata ,Buxus ,laevigata 
,,,C ,6304,BUPO ,Puerto Rico box ,Buxus ,portoricensis 
,,,C ,6306,BUVA ,Vahl's box ,Buxus ,vahlii 
,,,C ,6308,BYCR ,maricao cimun ,Byrsonima ,crassifolia 
,,,C ,6311,BYLU ,Long Key locustberry,Byrsonima ,lucida 
,,,C ,6313,BYSP ,doncella ,Byrsonima ,spicata 
,,,C ,6315,BYWA ,almendrillo ,Byrsonima ,wadsworthii 
,,,C ,6316,CAESA ,nicker ,Caesalpinia ,sp
,,,C ,6317,CACO28 ,divi divi ,Caesalpinia ,coriaria 
,,,C ,6319,CAPU13 ,pride-of-Barbados,Caesalpinia ,pulcherrima 
,,,C ,6320,CASA28 ,sappanwood ,Caesalpinia ,sappan 
,,,C ,6325,CASU33 ,Surinamese stickpea,Calliandra ,surinamensis 
,,,C ,6326,CAAM14 ,caparosa ,Callicarpa ,ampla 
,,,C ,6328,CACI15 ,crimson bottlebrush,Callistemon ,citrinus 
,,,C ,6337,CAEC2 ,Caloncoba,Caloncoba ,echinata 
,,,C ,6338,CAAN22 ,Antilles calophyllum,Calophyllum ,antillanum 
,,,C ,6341,CAIN4 ,Alexandrian laurel,Calophyllum ,inophyllum 
,,,C ,6346,CAPR ,roostertree ,Calotropis ,procera 
,,,C ,6350,CACA73 ,degame ,Calycophyllum ,candidissimum 
,,,C ,6351,CAKI ,Kiaerskov's lidflower,Calyptranthes ,kiaerskovii 
,,,C ,6352,CAKR ,limoncillo ,Calyptranthes ,krugii 
,,,C ,6353,CALU12 ,Luquillo forest lidflower,Calyptranthes ,luquillensis 
,,,C ,6354,CAPA8 ,pale lidflower ,Calyptranthes ,pallens 
,,,C ,6355,CAPO9 ,Puerto Rico lidflower,Calyptranthes ,portoricensis 
,,,C ,6356,CASI8 ,limoncillo de monte,Calyptranthes ,sintenisii 
,,,C ,6358,CATH3 ,Thomas' lidflower,Calyptranthes ,thomasiana 
,,,C ,6359,CAZU ,myrtle of the river,Calyptranthes ,zuzygium 
,,,C ,6360,CARI3 ,Puerto Rico manac,Calyptronoma ,rivalis 
,,,C ,6370,CAOD ,ilang-ilang ,Cananga ,odorata 
,,,C ,6380,CAWI ,wild cinnamon ,Canella ,winteriana 
,,,C ,6383,CAAM13 ,burro blanco ,Capparis ,amplissima 
,,,C ,6384,CABA2 ,caper ,Capparis ,baducca 
,,,C ,6386,CACY ,Jamaican caper ,Capparis ,cynophallophora 
,,,C ,6387,CAFL2 ,falseteeth ,Capparis ,flexuosa 
,,,C ,6389,CAHA9 ,broadleaf caper ,Capparis ,hastata 
,,,C ,6390,CAIN5 ,linguam ,Capparis ,indica 
,,,C ,6393,CAGU6 ,crabwood ,Carapa ,guianensis 
,,,C ,6395,CAPA23 ,papaya ,Carica ,papaya 
X ,E ,,,391,CACA18 ,"American hornbeam, musclewood",Carpinus ,caroliniana 
,E ,,,400,CARYA ,hickory spp. ,Carya ,sp
X ,E ,,,409,CAAL27 ,mockernut hickory,Carya ,alba 
X ,E ,,,401,CAAQ2 ,water hickory ,Carya ,aquatica 
X ,E ,,,413,CACA38 ,southern shagbark hickory,Carya ,carolinae-septentrionalis
X ,E ,,,402,CACO15 ,bitternut hickory ,Carya ,cordiformis 
