Core ,East ,West ,woodland Caribbean,FIA Code,PLANTS Code,Common name,Genus ,Species 
X ,E ,,,411,CAFL6 ,scrub hickory ,Carya ,floridana 
X ,E ,,,403,CAGL8 ,pignut hickory ,Carya ,glabra 
X ,E ,,,404,CAIL2 ,pecan ,Carya ,illinoinensis 
X ,E ,,,405,CALA21 ,shellbark hickory ,Carya ,laciniosa 
X ,E ,,,406,CAMY ,nutmeg hickory ,Carya ,myristiciformis 
X ,E ,,,412,CAOV3 ,red hickory ,Carya ,ovalis 
X ,E ,,,407,CAOV2 ,shagbark hickory ,Carya ,ovata 
X ,E ,,,410,CAPA24 ,sand hickory ,Carya ,pallida 
X ,E ,,,408,CATE9 ,black hickory ,Carya ,texana 
,,,C ,6402,CAAC3 ,rabo de ranton ,Casearia ,aculeata 
,,,C ,6403,CAAR8 ,gia verde ,Casearia ,arborea 
,,,C ,6406,CADE11 ,wild honeytree ,Casearia ,decandra 
,,,C ,6407,CAGU2 ,Guyanese wild coffee,Casearia ,guianensis 
,,,C ,6410,CASY2 ,crackopen ,Casearia ,sylvestris 
,,,C ,6415,CAFI3 ,golden shower ,Cassia ,fistula 
,,,C ,6417,CAGR11 ,pink shower ,Cassia ,grandis 
,,,C ,6418,CAJA3 ,apple blossom ,Cassia ,javanica 
,,,C ,6425,CAXY ,marbletree ,Cassine ,xylocarpa 
,,,C ,6427,CAGU3 ,goatwood ,Cassipourea ,guianensis 
,E ,W ,,420,CASTA ,chestnut spp. ,Castanea ,sp
,E ,,,421,CADE12 ,American chestnut,Castanea ,dentata 
X ,E ,W ,,424,CAMO83 ,Chinese chestnut ,Castanea ,mollissima 
X ,E ,,,422,CAPU9 ,Allegheny chinkapin,Castanea ,pumila 
,E ,,,423,CAPUO ,Ozark chinkapin ,Castanea ,pumila var. ozarkensis
,,,C ,6429,CAER3 ,goatbush ,Castela ,erecta 
,,,C ,6430,CAEL5 ,Panama rubbertree,Castilla ,elastica 
,E ,,C ,855,CASUA ,sheoak spp. ,Casuarina ,sp
,,,C ,6433,CACU8 ,river sheoak ,Casuarina ,cunninghamiana 
,,,C ,6434,CAEQ ,beach sheoak ,Casuarina ,equisetifolia 
X ,E ,,C ,856,CAGL11 ,gray sheoak ,Casuarina ,glauca 
X ,E ,,C ,857,CALE28 ,Australian pine ,Casuarina ,lepidophloia 
,E ,,C ,450,CATAL ,catalpa spp. ,Catalpa ,sp
X ,E ,,,451,CABI8 ,southern catalpa ,Catalpa ,bignonioides 
,,,C ,6439,CALO8 ,Haitian catalpa ,Catalpa ,longissima 
X ,E ,,,452,CASP8 ,northern catalpa ,Catalpa ,speciosa 
,,,C ,6443,CESC9 ,pumpwood ,Cecropia ,schreberiana 
,,,C ,6445,CEOD ,Spanish cedar ,Cedrela ,odorata 
,,,C ,6447,CEAC4 ,pochote ,Ceiba ,acuminata 
,,,C ,6448,CEAE2 ,pochote ,Ceiba ,aesculifolia 
,,,C ,6449,CEPE2 ,kapoktree ,Ceiba ,pentandra 
,E ,W ,C ,460,CELTI ,hackberry spp. ,Celtis ,sp
X ,E ,W ,,461,CELA ,sugarberry ,Celtis ,laevigata 
,E ,W ,,463,CELAR ,netleaf hackberry,Celtis ,laevigata var. reticulata
X ,E ,W ,,462,CEOC ,hackberry ,Celtis ,occidentalis 
,,,C ,6454,CETR3 ,almex ,Celtis ,trinervia 
,,,C ,6457,CESI3 ,St. John's bread ,Ceratonia ,siliqua 
X ,E ,,,471,CECA4 ,eastern redbud ,Cercis ,canadensis 
,,W ,w ,475,CELE3 ,curlleaf mountain-mahogany,Cercocarpus ,ledifolius 
,,,C ,6468,CEHE3 ,lady of the night cactus,Cereus ,hexagonus 
,,,C ,6469,CEHI3 ,Cereus,Cereus ,hildmannianus 
,,,C ,6474,CEDI6 ,day jessamine ,Cestrum ,diurnum 
,,,C ,6475,CELA2 ,galen del monte ,Cestrum ,laurifolium 
,,,C ,6477,CENO ,night jessamine ,Cestrum ,nocturnum 
,,,C ,6481,CHAR8 ,jointed sandmat ,Chamaesyce ,articulata 
,,,C ,6519,CHAX2 ,hueso ,Chionanthus ,axilliflorus 
,,,C ,6520,CHCO12 ,bridgotree ,Chionanthus ,compactus 
,,,C ,6521,CHDO4 ,white rosewood ,Chionanthus ,domingensis 
,,,C ,6522,CHHO4 ,hueso prieto ,Chionanthus ,holdridgei 
,,,C ,6523,CHLI6 ,cabra blanca ,Chionanthus ,ligustrinus 
,,,C ,6526,CHSE5 ,puntaj jayuya ,Chione ,seminervis 
,,,C ,6528,CHVE4 ,fatpork ,Chione ,venosa 
,,,C ,6529,CHEX5 ,african teak ,Chlorophora ,excelsa 
,,,C ,6532,CHSP13 ,silk-floss tree ,Chorisia ,speciosa 
,,,C ,6535,CHIC ,icaco coco plum ,Chrysobalanus ,icaco 
,,W ,,431,CHCHC4 ,"giant chinkapin,",Chrysolepis ,chrysophylla var. chrysophylla
,,,C ,6539,CHAR6 ,bastard redwood ,Chrysophyllum ,argenteum 
,,,C ,6541,CHCA10 ,star apple ,Chrysophyllum ,cainito 
,,,C ,6542,CHOL ,satinleaf ,Chrysophyllum ,oliviforme 
,,,C ,6543,CHPA31 ,camito de perro ,Chrysophyllum ,pauciflorum 
,,,C ,6554,CIAR8 ,cassia ,Cinnamomum ,aromaticum 
,E ,,C ,858,CICA ,camphor tree ,Cinnamomum ,camphora 
,,,C ,6559,CIEL2 ,laurel avispillo ,Cinnamomum ,elongatum 
,,,C ,6560,CIMO3 ,avispillo ,Cinnamomum ,montanum 
,,,C ,6564,CIVE2 ,cinnamon ,Cinnamomum ,verum 
,,,C ,6565,CICA8 ,juniper berry ,Citharexylum ,caudatum 
,E ,,C ,859,CIFR ,fiddlewood ,Citharexylum ,fruticosum 
,,,C ,6567,CISP3 ,spiny fiddlewood ,Citharexylum ,spinosum 
,,,C ,6569,CITR7 ,threespike fiddlewood,Citharexylum ,tristachyum 
,E ,,C ,860,CITRU2 ,citrus spp. ,Citrus ,sp
,,,C ,6581,CIMA5 ,Citrus maxima ,Citrus ,maxima 
,,,C ,6582,CIME3 ,Citrus medica ,Citrus ,medica 
,,,C ,6584,CIRE3 ,Citrus reticulata ,Citrus ,reticulata 
,,,C ,6573,CIAU7 ,grapefruit ,Citrus ,xaurantiifolia 
,,,C ,6574,CIAU8 ,Citrus,Citrus ,xaurantium 
,,,C ,6575,CILI5 ,shaddock ,Citrus ,xlimon 
,,,C ,6576,CIPA3 ,citron ,Citrus ,xparadisi 
,,,C ,6577,CISI3 ,tangerine ,Citrus ,xsinensis 
X ,E ,,,481,CLKE ,yellowwood ,Cladrastis ,kentukea 
,,,C ,6631,CLAC2 ,haggarbush ,Clerodendrum ,aculeatum 
,,,C ,6637,CLAL4 ,teta prieta ,Cleyera ,albopunctata 
,,,C ,6639,CLER ,jackass breadnut ,Clibadium ,erosum 
,,,C ,6641,CLCY5 ,Clidemia cymosa ,Clidemia ,cymosa 
,,,C ,6642,CLHI3 ,soapbush ,Clidemia ,hirta 
,,,C ,6644,CLFA5 ,Philippine pigeonwings,Clitoria ,fairchildiana 
,,,C ,6646,CLCL2 ,cupeillo ,Clusia ,clusioides 
,,,C ,6648,CLGU ,Grundlach's attorney,Clusia ,gundlachii 
,,,C ,6650,CLMI2 ,cupey de monte ,Clusia ,minor 
,,,C ,6651,CLRO ,Scotch attorney ,Clusia ,rosea 
,,,C ,6653,CNHO ,deepwoods fern ,Cnemidaria ,horrida 
,,,C ,6655,CNAC ,treadsoftly ,Cnidoscolus ,aconitifolius 
,,,C ,6658,COCO8 ,uvilla ,Coccoloba ,costata 
,E ,,C ,863,CODI8 ,"pigeon plum, tietongue",Coccoloba ,diversifolia 
,,,C ,6660,COKR ,whitewood ,Coccoloba ,krugii 
,,,C ,6661,COMI ,puckhout ,Coccoloba ,microstachya 
,,,C ,6662,COPA24 ,pale seagrape ,Coccoloba ,pallida 
,,,C ,6663,COPU ,grandleaf seagrape,Coccoloba ,pubescens 
,,,C ,6664,COPY ,uvera ,Coccoloba ,pyrifolia 
,,,C ,6665,CORU4 ,ortegon ,Coccoloba ,rugosa 
,,,C ,6666,COSI2 ,uvero de monte ,Coccoloba ,sintenisii 
,,,C ,6668,COSW ,Swartz's pigeonplum,Coccoloba ,swartzii 
,,,C ,6669,COTE9 ,Bahama pigeonplum,Coccoloba ,tenuifolia 
,,,C ,6670,COUV ,seagrape ,Coccoloba ,uvifera 
,,,C ,6671,COVE ,false chiggergrape,Coccoloba ,venosa 
,E ,,,907,COAR ,silver palm ,Coccothrinax ,argentata 
,,,C ,6673,COBA3 ,Coccothrinax,Coccothrinax ,barbadensis 
,,,C ,6679,COVI ,silk cottontree ,Cochlospermum ,vitifolium 
,E ,,C ,908,CONU ,coconut palm ,Cocos ,nucifera 
,,,C ,6683,COVA3 ,garden croton ,Codiaeum ,variegatum 
,,,C ,6684,COAR2 ,Arabian coffee ,Coffea ,arabica 
,,,C ,6686,COLI8 ,Coffea liberica ,Coffea ,liberica 
,,,C ,6688,COAR9 ,Cojoba arborea ,Cojoba ,arborea 
,,,C ,6689,COAC4 ,abata cola ,Cola ,acuminata 
,,,C ,6693,COAR3 ,greenheart ,Colubrina ,arborescens 
,E ,,C ,864,COEL2 ,soldierwood ,Colubrina ,elliptica 
,,,C ,6700,COVE6 ,Urban's nakedwood,Colubrina ,verrucosa 
,,,C ,6705,CODO ,poison ash ,Comocladia ,dodonaea 
,,,C ,6706,COGL4 ,carrasco ,Comocladia ,glabra 
,E ,,w ,867,COHO ,bluewood ,Condalia ,hookeri 
,E ,,C ,987,COER2 ,buttonwood mangrove,Conocarpus ,erectus 
,,,C ,6710,CORU17 ,Luquillo Mountain smallwood,Conostegia ,rufescens 
,,,C ,6711,COMO8 ,Consolea,Consolea ,moniliformis 
,,,C ,6712,CORU8 ,Consolea,Consolea ,rubescens 
,,,C ,6714,COOF2 ,copaiba ,Copaifera ,officinalis 
,,,C ,6728,COAL ,Spanish elm ,Cordia ,alliodora 
,E ,,,8651,COBO2 ,anacahuita ,Cordia ,boissieri 
,,,C ,6730,COBO3 ,muneco ,Cordia ,borinquensis 
,,,C ,6731,COCO5 ,red manjack ,Cordia ,collococca 
,,,C ,6735,COLA12 ,smooth manjack ,Cordia ,laevigata 
,,,C ,6737,COOB3 ,clammy cherry ,Cordia ,obliqua 
,,,C ,6738,CORI ,San Bartolome ,Cordia ,rickseckeri 
,,,C ,6739,CORU5 ,Puerto Rico manjack,Cordia ,rupicola 
,E ,,C ,865,COSE2 ,geiger tree ,Cordia ,sebestena 
,,,C ,6743,COSU3 ,mucilage manjack,Cordia ,sulcata 
,E ,W ,,490,CORNU ,dogwood spp. ,Cornus ,sp
X ,E ,,,491,COFL2 ,flowering dogwood,Cornus ,florida 
X ,,W ,,492,CONU4 ,Pacific dogwood ,Cornus ,nuttallii 
,,,C ,6746,COOB4 ,nigua ,Cornutia ,obovata 
,,,C ,6747,COPY2 ,azulejo ,Cornutia ,pyramidata 
,,,C ,6750,COCI4 ,Corymbia,Corymbia ,citriodora 
X ,E ,,,996,COOB2 ,smoketree ,Cotinus ,obovatus 
,,,C ,6756,COGU3 ,cannonball tree ,Couroupita ,guianensis 
,E ,,,500,CRATA ,hawthorn spp. ,Crataegus ,sp
,E ,,,503,CRBR3 ,Brainerd hawthorn,Crataegus ,brainerdii 
,E ,,,504,CRCA ,pear hawthorn ,Crataegus ,calpodendron 
,E ,,,505,CRCH ,fireberry hawthorn,Crataegus ,chrysocarpa 
,E ,,,501,CRCR2 ,cockspur hawthorn,Crataegus ,crus-galli 
,E ,,,506,CRDI ,broadleaf hawthorn,Crataegus ,dilatata 
,E ,,,507,CRFL ,fanleaf hawthorn ,Crataegus ,flabellata 
,E ,,,502,CRMO2 ,downy hawthorn ,Crataegus ,mollis 
,E ,,,508,CRMO3 ,oneseed hawthorn,Crataegus ,monogyna 
,E ,,,509,CRPE ,scarlet hawthorn ,Crataegus ,pedicellata 
,E ,,,5091,CRPH ,Washington hawthorn,Crataegus ,phaenopyrum 
,E ,,,5092,CRSU5 ,fleshy hawthorn ,Crataegus ,succulenta 
,E ,,,5093,CRUN ,dwarf hawthorn ,Crataegus ,uniflora 
,,,C ,6761,CRCU ,common calabash tree,Crescentia ,cujete 
,,,C ,6762,CRLI5 ,higuerito ,Crescentia ,linearifolia 
,,,C ,6763,CRPO6 ,higuero de sierra ,Crescentia ,portoricensis 
,,,C ,6765,CRPO7 ,Critonia,Critonia ,portoricensis 
,,,C ,6767,CRRH ,maidenberry ,Crossopetalum ,rhacoma 
,,,C ,6773,CRAS3 ,wild marrow ,Croton ,astroites 
,,,C ,6774,CRFL23 ,Croton flavens ,Croton ,flavens 
,,,C ,6775,CRPO4 ,sabinon ,Croton ,poecilanthus 
,,,C ,6790,CUAM ,wild ackee ,Cupania ,americana 
,,,C ,6792,CUTR ,guara blanca ,Cupania ,triquetra 
,E ,,,866,CUAN4 ,carrotwood ,Cupaniopsis ,anacardioides 
,,,C ,6834,CYAN ,parrotfeather treefern,Cyathea ,andina 
,,,C ,6835,CYAR ,West Indian treefern,Cyathea ,arborea 
,,,C ,6839,CYFU ,Jamaican treefern,Cyathea ,furfuracea 
,,,C ,6843,CYPA7 ,small treefern ,Cyathea ,parvula 
,,,C ,6848,CYTE10 ,helecho gigante ,Cyathea ,tenera 
,,,C ,6850,CYSI ,Cybianthus,Cybianthus ,sintenisii 
,,,C ,6857,CYPO2 ,oreganillo falso ,Cynometra ,portoricensis 
,,,C ,6862,CYRA ,swamp titi ,Cyrilla ,racemiflora 
,,,C ,6867,DAEX ,candletree ,Dacryodes ,excelsa 
,,,C ,6869,DASI ,Indian rosewood ,Dalbergia ,sissoo 
,,,C ,6871,DAAM2 ,burn nose ,Daphnopsis ,americana 
,,,C ,6872,DAHE2 ,Heller's cieneguillo,Daphnopsis ,helleriana 
,,,C ,6873,DAPH ,emajagua de sierra,Daphnopsis ,philippiana 
,,,C ,6883,DERE ,royal poinciana ,Delonix ,regia 
,,,C ,6888,DEAR ,angelica tree ,Dendropanax ,arboreus 
,,,C ,6889,DELA3 ,palo de vaca ,Dendropanax ,laurifolius 
,,,C ,6896,DIIN6 ,chulta ,Dillenia ,indica 
,,,C ,6899,DILO7 ,Dimocarpus,Dimocarpus ,longan 
,E ,,C ,520,DIOSP ,persimmon spp. ,Diospyros ,sp
,,,C ,6909,DIRE6 ,black apple ,Diospyros ,revoluta 
,,,C ,6912,DISI3 ,Chinese persimmon,Diospyros ,sintenisii 
X ,E ,,,522,DITE3 ,Texas persimmon,Diospyros ,texana 
X ,E ,,,521,DIVI5 ,common persimmon,Diospyros ,virginiana 
,,,C ,6923,DIMY ,jaboncillo ,Ditta ,myricoides 
,,,C ,6927,DOVI ,Florida hopbush ,Dodonaea ,viscosa 
,,,C ,6930,DOHE2 ,Ceylon gooseberry,Dovyalis ,hebecarpa 
,,,C ,6932,DRFR2 ,fragrant dracaena,Dracaena ,fragrans 
,,,C ,6937,DRAL5 ,cafeillo ,Drypetes ,alba 
,,,C ,6938,DRGL2 ,varital ,Drypetes ,glauca 
,,,C ,6939,DRIL ,rosewood ,Drypetes ,ilicifolia 
,,,C ,6940,DRLA3 ,guiana plum ,Drypetes ,lateriflora 
,,,C ,6961,DUER ,golden dewdrops ,Duranta ,erecta 
,,,C ,6966,DYLU ,Dypsis lutescens ,Dypsis ,lutescens 
,E ,,,868,EBEB ,blackbead ebony ,Ebenopsis ,ebano 
,E ,,w ,523,EHAN ,Anacua ,Ehretia ,anacua 
,E ,W ,,997,ELAN ,Russian-olive ,Elaeagnus ,angustifolia 
,,,C ,6996,ENCY ,monkeysoap ,Enterolobium ,cyclocarpum 
,,,C ,6998,ERJA3 ,loquat ,Eriobotrya ,japonica 
,,,C ,7000,ERFR4 ,blacktorch ,Erithalis ,fruticosa 
,,,C ,7004,ERBE3 ,machete ,Erythrina ,berteriana 
,,,C ,7005,ERCO22 ,coral erythrina ,Erythrina ,corallodendron 
,,,C ,7006,ERCR6 ,crybabytree ,Erythrina ,crista-galli 
,,,C ,7007,EREG ,cock's spur ,Erythrina ,eggersii 
,,,C ,7008,ERFU2 ,bucayo ,Erythrina ,fusca 
,,,C ,7011,ERPO5 ,mountain immortelle,Erythrina ,poeppigiana 
,,,C ,7015,ERVA7 ,tiger's claw ,Erythrina ,variegata 
,,,C ,7016,ERVAO ,tiger's claw ,Erythrina ,variegata var. orientalis
,,,C ,7019,ERAR17 ,swamp-redwood ,Erythroxylum ,areolatum 
,,,C ,7021,ERRO3 ,ratwood ,Erythroxylum ,rotundifolium 
,,,C ,7022,ERRU4 ,rufous false cocaine,Erythroxylum ,rufum 
,,,C ,7024,ERUR4 ,Urban's false cocaine,Erythroxylum ,urbanii 
,E ,W ,C ,510,EUCAL ,eucalyptus spp. ,Eucalyptus ,sp
X ,E ,,,512,EUCA2 ,river redgum ,Eucalyptus ,camaldulensis 
,,,C ,7034,EUDE2 ,Indonesian gum ,Eucalyptus ,deglupta 
X ,,W ,,511,EUGL ,Tasmanian bluegum,Eucalyptus ,globulus 
X ,E ,,C ,513,EUGR12 ,grand eucalyptus ,Eucalyptus ,grandis 
,,,C ,7043,EUMA23 ,spotted gum ,Eucalyptus ,maculata 
,,,C ,7046,EUPA ,gray ironbark ,Eucalyptus ,paniculata 
,,,C ,7049,EURE2 ,redmahogany ,Eucalyptus ,resinifera 
X ,E ,,C ,514,EURO2 ,swamp mahogany,Eucalyptus ,robusta 
,,,C ,7053,EUSA ,Sydney bluegum ,Eucalyptus ,saligna 
,,,C ,7060,EUAX ,white stopper ,Eugenia ,axillaris 
,,,C ,7061,EUBI ,blackrodwood ,Eugenia ,biflora 
,,,C ,7062,EUBO3 ,Sierra de Cayey stopper,Eugenia ,boqueronensis 
,,,C ,7063,EUBO4 ,guayabota de sierra,Eugenia ,borinquensis 
,,,C ,7066,EUCO4 ,redberry stopper ,Eugenia ,confusa 
,,,C ,7067,EUCO5 ,lathberry ,Eugenia ,cordata 
,,,C ,7068,EUCOS ,Eugenia cordata ,Eugenia ,cordata var. sintensii
,,,C ,7069,EUCO13 ,sperry guava ,Eugenia ,corozalensis 
,,,C ,7071,EUDO ,serrette guave ,Eugenia ,domingensis 
,,,C ,7072,EUEG ,guasabara ,Eugenia ,eggersii 
,,,C ,7075,EUGL6 ,smooth rodwood ,Eugenia ,glabrata 
,,,C ,7076,EUHA4 ,Luquillo Mountain stopper,Eugenia ,haematocarpa 
,,,C ,7081,EULI ,privet stopper ,Eugenia ,ligustrina 
,,,C ,7084,EUMO ,birdcherry ,Eugenia ,monticola 
,,,C ,7089,EUPR4 ,rockmyrtle ,Eugenia ,procera 
,,,C ,7090,EUPS ,Christmas cherry ,Eugenia ,pseudopsidium 
,E ,,C ,873,EURH ,red stopper ,Eugenia ,rhombea 
,,,C ,7093,EUSE9 ,serrasuela ,Eugenia ,serrasuela 
,,,C ,7094,EUSE10 ,sessileleaf stopper,Eugenia ,sessiliflora 
,,,C ,7098,EUST3 ,Stahl's stopper ,Eugenia ,stahlii 
,,,C ,7100,EUST6 ,Stewardson's stopper,Eugenia ,stewardsonii 
,,,C ,7103,EUUN ,Underwood's stopper,Eugenia ,underwoodii 
,,,C ,7104,EUUN2 ,Surinam cherry ,Eugenia ,uniflora 
,,,C ,7105,EUXE ,aridland stopper ,Eugenia ,xerophytica 
,,,C ,7109,EUCO24 ,Mexican shrubby spurge,Euphorbia ,cotinifolia 
,,,C ,7111,EULA8 ,mottled spurge ,Euphorbia ,lactea 
,,,C ,7112,EUNE4 ,Indian spurgetree,Euphorbia ,neriifolia 
,,,C ,7113,EUPE8 ,manchineel berry,Euphorbia ,petiolaris 
,,,C ,7116,EUTI ,Indiantree spurge,Euphorbia ,tirucalli 
,,,C ,7135,EXCA ,Caribbean princewood,Exostema ,caribaeum 
,,,C ,7136,EXEL ,plateado ,Exostema ,ellipticum 
,,,C ,7137,EXSA2 ,Exostema,Exostema ,sanctae-luciae 
,E ,,C ,874,EXPA ,"Inkwood, ",Exothea ,paniculata 
X ,E ,,,531,FAGR ,American beech ,Fagus ,grandifolia 
,E ,,,915,ARECA ,other palms ,Family Arecaceae ,not listed above 
,,,C ,7146,FAOC ,false coffee ,Faramea ,occidentalis 
,,,C ,7148,FIAM ,Jamaican cherry fig,Ficus ,americana 
,E ,,,876,FIAU ,strangler fig ,Ficus ,aurea 
,,,C ,7149,FIBE2 ,Indian banyan ,Ficus ,benghalensis 
,,,C ,7150,FIBE ,weeping fig ,Ficus ,benjamina 
,,,C ,7151,FICA ,edible fig ,Ficus ,carica 
,E ,,C ,877,FICI ,"shortleaf fig, wild banyantree",Ficus ,citrifolia 
,,,C ,7154,FIDR3 ,brown-woolly fig ,Ficus ,drupacea 
,,,C ,7155,FIEL ,Indian rubberplant,Ficus ,elastica 
,,,C ,7158,FILU ,Ficus lutea ,Ficus ,lutea 
,,,C ,7159,FILY ,fiddleleaf fig ,Ficus ,lyrata 
,,,C ,7160,FIMI2 ,Chinese banyan ,Ficus ,microcarpa 
,,,C ,7162,FINO3 ,tibig ,Ficus ,nota 
,,,C ,7164,FIOB ,amate ,Ficus ,obtusifolia 
,,,C ,7166,FIRE3 ,peepul tree ,Ficus ,religiosa 
,,,C ,7173,FIST ,jaguey ,Ficus ,stahlii 
,,,C ,7174,FISY2 ,sycamore fig ,Ficus ,sycomorus 
,,,C ,7177,FITR ,jaguey blanco ,Ficus ,trigonata 
,,,C ,7184,FLIN ,governor's plum ,Flacourtia ,indica 
,,,C ,7185,FLIN3 ,batoko plum ,Flacourtia ,inermis 
,,,C ,7190,FLAC ,Flueggea,Flueggea ,acidoton 
,,,C ,7194,FOEG ,inkbush ,Forestiera ,eggersiana 
,,,C ,7195,FORH ,caca ravet ,Forestiera ,rhamnifolia 
,,,C ,7196,FOSE ,Florida swampprivet,Forestiera ,segregata 
,,,C ,7198,FOMA2 ,oval kumquat ,Fortunella ,margarita 
,,,C ,7202,FRSPL ,West Indian buckthorn,Frangula ,sphaerosperma 
,E ,W ,C ,540,FRAXI ,ash spp. ,Fraxinus ,sp
X ,E ,,,541,FRAM2 ,white ash ,Fraxinus ,americana 
,E ,,,5491,FRBE ,Berlandier ash ,Fraxinus ,berlandieriana 
X ,E ,,,548,FRCA3 ,Carolina ash ,Fraxinus ,caroliniana 
X ,,W ,,542,FRLA ,Oregon ash ,Fraxinus ,latifolia 
X ,E ,,,543,FRNI ,black ash ,Fraxinus ,nigra 
X ,E ,,,544,FRPE ,green ash ,Fraxinus ,pennsylvanica 
X ,E ,,,545,FRPR ,pumpkin ash ,Fraxinus ,profunda 
X ,E ,,,546,FRQU ,blue ash ,Fraxinus ,quadrangulata 
X ,E ,,,549,FRTE ,Texas ash ,Fraxinus ,texensis 
,,,C ,7206,FRUH ,shamel ash ,Fraxinus ,uhdei 
X ,,W ,,547,FRVE2 ,velvet ash ,Fraxinus ,velutina 
,,,C ,7210,FUEL ,silkrubber ,Funtumia ,elastica 
,,,C ,7212,GADU3 ,Gourka ,Garcinia ,dulcis 
,,,C ,7213,GAHE5 ,lemon saptree ,Garcinia ,hessii 
,,,C ,7214,GAMA10 ,mangosteen ,Garcinia ,mangostana 
,,,C ,7218,GAPO2 ,palo de cruz ,Garcinia ,portoricensis 
,,,C ,7223,GAXA ,Garcinia,Garcinia ,xanthochymus 
,,,C ,7231,GAAT ,llume ,Gaussia ,attenuata 
,,,C ,7235,GEAM ,jagua ,Genipa ,americana 
,,,C ,7237,GEPE4 ,arbol de Navidad ,Gesneria ,pedunculosa 
